DTE,BARRIS,TOTAL
1,1. el Raval,17384
1,2. el Barri Gòtic,6830
1,3. la Barceloneta,7031
1,"4. Sant Pere, Santa Caterina i la Ribera",10082
2,5. el Fort Pienc,13041
2,6. la Sagrada Família,22239
2,7. la Dreta de l Eixample,18483
2,8. l Antiga Esquerra de l Eixample,18249
2,9. la Nova Esquerra de l Eixample,24663
2,10. Sant Antoni,16559
3,11. el Poble Sec - Parc Montjuïc,16210
3,12. la Marina del Prat Vermell - Zona Franca,427
3,13. la Marina de Port,11706
3,14. la Font de la Guatlla,4323
3,15. Hostafrancs,6620
3,16. la Bordeta,7503
3,17. Sants - Badal,10047
3,18. Sants,17365
4,19. les Corts,19019
4,20. la Maternitat i Sant Ramon,9632
4,21. Pedralbes,4255
5,"22. Vallvidrera, el Tibidabo i les Planes",1547
5,23. Sarrià,8888
5,24. les Tres Torres,5559
5,25. Sant Gervasi - la Bonanova,9320
5,26. Sant Gervasi - Galvany,18553
5,27. el Putxet i el Farró,12116
6,28. Vallcarca i els Penitents,6488
6,29. el Coll,3021
6,30. la Salut,5433
6,31. la Vila de Gràcia,23082
6,32. el Camp d en Grassot i Gràcia Nova,14919
7,33. el Baix Guinardó,10860
7,34. Can Baró,3762
7,35. el Guinardó,15114
7,36. la Font d en Fargues,3706
7,37. el Carmel,12799
7,38. la Teixonera,4753
7,39. Sant Genís dels Agudells,2873
7,40. Montbau,2128
7,41. la Vall d Hebron,2209
7,42. la Clota,206
7,43. Horta,10746
8,44. Vilapicina i la Torre Llobeta,10446
8,45. Porta,10144
8,46. el Turó de la Peira,6107
8,47. Can Peguera,938
8,48. la Guineueta,6196
8,49. Canyelles,2801
8,50. les Roquetes,5919
8,51. Verdun,5067
8,52. la Prosperitat,10752
8,53. la Trinitat Nova,2958
8,54. Torre Baró,727
8,55. Ciutat Meridiana,3581
8,56. Vallbona,479
9,57. la Trinitat Vella,3530
9,58. Baró de Viver,945
9,59. el Bon Pastor,4667
9,60. Sant Andreu,23280
9,61. la Sagrera,11681
9,62. el Congrés i els Indians,5930
9,63. Navas,8935
10,64. el Camp de l Arpa del Clot,16327
10,65. el Clot,10817
10,66. el Parc i la Llacuna del Poblenou,5992
10,67. la Vila Olímpica del Poblenou,3533
10,68. el Poblenou,13462
10,69. Diagonal Mar i el Front Marítim del Poblenou,5402
10,70. el Besòs i el Maresme,8407
10,71. Provençals del Poblenou,8067
10,72. Sant Martí de Provençals,10649
10,73. la Verneda i la Pau,11510
